layer,context_similarity
0,0.9556891322135925
1,0.9310530424118042
2,0.8906135559082031
3,0.8232253193855286
4,0.7376389503479004
5,0.6976603269577026
6,0.6905159950256348
7,0.6564980745315552
8,0.6363746523857117
9,0.6396405696868896
10,0.6585524678230286
11,0.7793376445770264
12,0.9602147340774536
