layer,identity_similarity
0,0.6410095691680908
1,0.10241605341434479
2,0.07873354107141495
3,0.04106542468070984
4,0.044403575360774994
5,0.022822093218564987
6,-0.006658934056758881
7,-0.022322524338960648
8,-0.03628291189670563
9,-0.04912005737423897
10,-0.05987122282385826
11,-0.07809235155582428
12,-0.14030802249908447
