layer,context_similarity
0,0.8629579544067383
1,0.9041880369186401
2,0.8919239044189453
3,0.8464856147766113
4,0.7997684478759766
5,0.7721354961395264
6,0.7551149129867554
7,0.7483115792274475
8,0.7425005435943604
9,0.7286841869354248
10,0.6752543449401855
11,0.7555109262466431
12,0.9835312962532043
